,회사명,시기,지원분야,대학,계열,전공,학점,토익,토익스피킹,오픽,외국어,자격증,해외경험,인턴,수상내역,봉사
1356,미래에셋증권㈜,2014년,웹디자이너,서울4년제,예/체능학계열,뉴미디어디자인,3.8,-,-,-,-,-,-,-,-,-
1357,미래에셋증권㈜,2014년,사무담당자,초대졸,인문과학계열,호텔외식경영,3.97,-,-,-,-,-,-,-,-,-
1358,미래에셋증권㈜,2014년,웹개발자,서울4년제,컴퓨터과학,,-,-,-,-,-,-,1회,-,-,-
1359,미래에셋증권㈜,2013년,금융영업,초대졸,공학계열,전기,4,-,-,-,-,2개,-,-,-,-
1360,㈜BGF리테일,2023년,회계담당자,서울4년제,상경계열,경영학과,3.45,885점,-,-,-,1개,-,-,1회,-
1361,㈜BGF리테일,2023년,영업관리,대학원,어문학계열,중어중문과,4.14,-,IH,-,1개,2개,3회,-,3회,2회
1362,㈜BGF리테일,2023년,영업관리,대졸4년제,어문학계열,중국어과,3.5,-,-,-,-,-,1회,-,-,-
1363,㈜BGF리테일,2022년,영업관리,대학원,어문학계열,중어중문과,4.14,-,-,-,1개,2개,3회,-,3회,2회
1364,㈜BGF리테일,2022년,영업지원,수도권4년제,어문학계열,일본어통번역학과,3.6,700점,-,IM1,2개,2개,-,-,1회,6회
1365,㈜BGF리테일,2022년,영업지원,대학원,사회과학계열,신문방송학과,3.84,920점,-,IH,-,2개,-,1회,1회,2회
1366,㈜BGF리테일,2022년,매장관리자,지방4년제,인문과학계열,인도네시아ㆍ말레이시아어과,3.59,870점,-,-,-,4개,1회,-,1회,3회
1367,㈜BGF리테일,2022년,웹퍼블리셔,서울4년제,공학계열,컴퓨터공학부,3.06,-,-,AL,-,-,-,-,1회,-
1368,㈜BGF리테일,2021년,영업지원,지방4년제,이탈리아언어문화전공,,3.74,760점,-,-,-,3개,-,1회,2회,2회
1369,㈜BGF리테일,2021년,영업지원,지방4년제,이탈리아언어문화전공,,3.74,760점,-,-,-,3개,-,1회,2회,2회
1370,쌍용건설(주),2021년,분양매니저,수도권4년제,공학계열,건축공학과,3.79,950점,-,AL,-,1개,-,-,-,2회
1371,쌍용건설(주),2016년,회계담당자,고졸,-,,-,-,-,-,-,2개,-,-,-,-
1372,쌍용건설(주),2016년,회계담당자,지방4년제,사회과학계열,심리,3.78,-,-,-,-,5개,-,-,-,-
1373,쌍용건설(주),2016년,현장관리자,서울4년제,사회과학계열,신문방송,3.3,960점,-,-,-,1개,-,-,1회,-
1374,쌍용건설(주),2016년,인사담당자,대졸4년제,상경계열,Labor,3.7,930점,-,-,-,-,-,-,-,-
1375,쌍용건설(주),2016년,경영·비즈니스기획,서울4년제,경영학과,,3.7,885점,Lv6,M2,-,-,-,-,-,-
1376,쌍용건설(주),2015년,,해외대학,Labor,and,3.7,930점,-,-,-,-,-,-,-,-
1377,쌍용건설(주),2015년,현장관리자,수도권4년제,공학계열,건축공학과,3.71,-,-,-,-,2개,-,-,-,-
1378,쌍용건설(주),2015년,현장관리자,지방4년제,공학계열,건축공,3.67,835점,-,-,-,1개,2회,-,-,-
1379,쌍용건설(주),2013년,현장관리자,초대졸,예/체능학계열,인테리어디자인,4.1,-,-,-,-,-,1회,-,1회,-
1380,태광산업(주),2022년,인사담당자,서울4년제,상경계열,경영학과,3.2,940점,-,IH,-,1개,1회,-,-,-
1381,태광산업(주),2022년,경영·비즈니스기획,대학원,상경계열,경영정보학과,3.4,-,-,AL,-,3개,-,-,-,-
1382,태광산업(주),2021년,화학엔지니어,대학원,자연과학계열,지구환경공학부,3.71,865점,-,IH,-,1개,1회,-,1회,2회
1383,태광산업(주),2019년,품질관리자,지방4년제,공학계열,고분자공학과,3.62,985점,-,AL,-,3개,-,1회,1회,6회
1384,태광산업(주),2019년,전기기사,서울4년제,공학계열,안전공학과,3.86,935점,-,IH,-,1개,-,-,-,-
1385,태광산업(주),2018년,재무담당자,서울4년제,상경계열,경영학,3.5,940점,-,-,-,1개,-,-,-,1회
1386,태광산업(주),2017년,사무담당자,서울4년제,인문과학계열,사학과,3.04,930점,Lv7,-,-,5개,-,-,-,-
1387,태광산업(주),2017년,구매관리자,수도권4년제,상경계열,경영학,4.17,870점,Lv7,-,-,-,1회,-,-,2회
1388,태광산업(주),2016년,제품영업,서울4년제,사회과학계열,국제통상학과,3.7,870점,Lv6,-,-,1개,-,1회,1회,4회
1389,태광산업(주),2015년,,수도권4년제,화학공학,,3.7,950점,-,-,-,-,-,-,-,-
1390,동우화인켐(주),2017년,생산직종사자,초대졸,공학계열,신재생전기계열,4.09,-,-,-,-,2개,-,1회,-,3회
1391,동우화인켐(주),2016년,,서울4년제,화공,,4.15,-,Lv6,-,-,1개,-,4회,1회,-
1392,동우화인켐(주),2016년,사무보조,대학원,인문과학계열,경영학과,4.34,-,-,-,1개,-,-,1회,3회,1회
1393,동우화인켐(주),2016년,건축기사,지방4년제,공학계열,기계공학과,3.5,905점,Lv6,-,-,1개,-,1회,1회,2회
1394,동우화인켐(주),2015년,,지방4년제,공학,기계공학,4.1,820점,-,-,-,2개,-,-,1회,2회
1395,동우화인켐(주),2015년,,지방4년제,기계공학과,,3.5,905점,-,-,-,1개,-,1회,1회,3회
1396,동우화인켐(주),2015년,생산직종사자,초대졸,공학계열,기계전자,3.69,-,-,-,-,5개,-,-,-,-
1397,동우화인켐(주),2015년,품질관리자,지방4년제,공학계열,기계공학,4.08,820점,Lv6,-,-,2개,-,-,1회,2회
1398,동우화인켐(주),2014년,포장·가공담당자,고졸,-,,-,-,-,-,-,5개,-,-,-,-
1399,동우화인켐(주),2014년,품질관리자,서울4년제,환경생태공학부,,-,-,Lv7,-,-,-,1회,1회,-,1회
1400,호텔롯데,2023년,시각디자이너,지방4년제,예/체능학계열,시각디자인과,3.95,-,-,-,-,-,-,-,-,3회
1401,호텔롯데,2021년,인사담당자,대학원,어문학계열,중국어교육전공,4.16,940점,-,AL,2개,-,4회,-,-,-
1402,호텔롯데,2021년,인사담당자,대학원,어문학계열,중국어교육전공,4.16,940점,-,AL,2개,-,4회,-,-,-
1403,호텔롯데,2017년,영업지원,대졸4년제,상경계열,호텔경영,4.03,955점,-,-,1개,-,1회,-,-,-
1404,호텔롯데,2017년,뷰티·미용사,수도권4년제,예/체능학계열,유도,3.78,-,-,-,-,4개,-,1회,-,-
1405,호텔롯데,2016년,요리사,초대졸,호텔조리학과,,-,-,-,-,-,2개,-,-,-,-
1406,호텔롯데,2016년,인바운드상담원,지방4년제,인문과학계열,영어영문,3.73,700점,-,-,1개,4개,-,-,-,2회
1407,호텔롯데,2016년,제품영업,서울4년제,상경계열,경영학과,3.17,830점,Lv7,-,-,-,-,-,-,1회
1408,호텔롯데,2016년,,서울4년제,-,,4.2,975점,Lv7,-,-,1개,1회,-,-,-
1409,호텔롯데,2016년,,서울4년제,네덜란드어과,,3.52,895점,-,-,-,-,-,-,2회,2회
1410,금호타이어(주),2023년,제품영업,서울4년제,상경계열,경영학부,3.8,930점,Lv6,-,-,-,-,-,-,2회
1411,금호타이어(주),2023년,물류관리자,수도권4년제,상경계열,경영학부,3.6,860점,Lv7,-,2개,2개,1회,-,-,-
1412,금호타이어(주),2023년,경영·비즈니스기획,서울4년제,사회과학계열,공공인재학부,4.07,815점,Lv6,-,-,1개,-,-,1회,-
1413,금호타이어(주),2023년,경영·비즈니스기획,서울4년제,사회과학계열,공공인재학부,4.07,815점,Lv6,-,-,1개,-,-,1회,-
1414,금호타이어(주),2021년,생산직종사자,지방4년제,공학계열,전기전자공학과,3.83,855점,Lv6,-,-,2개,-,-,1회,-
1415,금호타이어(주),2021년,기계엔지니어,대학원,공학계열,기계공학과,4.26,765점,-,IM2,-,-,-,1회,-,3회
1416,금호타이어(주),2021년,화학엔지니어,대학원,자연과학계열,화학과,4.3,-,-,IH,-,-,1회,-,-,-
1417,금호타이어(주),2021년,화학엔지니어,대학원,자연과학계열,화학과,4.3,-,-,IH,-,-,1회,-,-,-
1418,금호타이어(주),2020년,경영·비즈니스기획,서울4년제,상경계열,글로벌경제학과,3.9,-,-,AL,-,3개,1회,-,1회,3회
1419,금호타이어(주),2020년,경영·비즈니스기획,서울4년제,상경계열,글로벌경제학과,3.9,-,-,AL,-,3개,1회,-,1회,3회
1420,SK브로드밴드(주),2022년,재무담당자,수도권4년제,상경계열,경제학과,3.62,840점,-,IH,1개,3개,-,-,3회,-
1421,SK브로드밴드(주),2021년,재무담당자,지방4년제,상경계열,경영학과,3.78,835점,Lv7,-,-,7개,-,-,-,3회
1422,SK브로드밴드(주),2021년,재무담당자,서울4년제,상경계열,경영학,4.01,985점,-,AL,-,-,-,-,-,2회
1423,SK브로드밴드(주),2020년,머신러닝엔지니어,서울4년제,자연과학계열,응용통계학과,3.48,950점,-,AL,-,-,-,3회,2회,1회
1424,SK브로드밴드(주),2020년,머신러닝엔지니어,서울4년제,자연과학계열,응용통계학과,3.48,950점,-,AL,-,-,-,3회,2회,1회
1425,SK브로드밴드(주),2020년,머신러닝엔지니어,서울4년제,자연과학계열,응용통계학과,3.48,950점,-,AL,-,-,-,3회,2회,1회
1426,SK브로드밴드(주),2019년,인사담당자,서울4년제,어문학계열,영어영문학,3.92,980점,Lv7,-,1개,1개,1회,-,-,-
1427,SK브로드밴드(주),2017년,온라인마케터,지방4년제,경영,,4.06,-,-,-,-,-,-,4회,-,10회
1428,SK브로드밴드(주),2017년,온라인마케터,지방4년제,경영,,4.06,-,-,-,-,-,-,4회,-,10회
1429,SK브로드밴드(주),2017년,홍보,대졸4년제,상경계열,경영,4.02,895점,-,-,-,-,-,-,-,-
1430,신한투자증권,2022년,경영·비즈니스기획,서울4년제,사회과학계열,언론홍보학과,3.42,860점,-,-,-,2개,-,2회,3회,2회
1431,신한투자증권,2022년,금융영업,서울4년제,상경계열,경영학부,3.8,930점,Lv6,-,-,-,-,-,-,2회
1432,신한투자증권,2022년,금융영업,서울4년제,어문학계열,국어국문전공,3.2,840점,-,-,-,-,-,-,-,-
1433,신한투자증권,2020년,앱개발자,서울4년제,상경계열,경영학과_경영전공,3.85,-,-,IH,-,-,1회,1회,1회,-
1434,신한투자증권,2016년,앱개발자,초대졸,자동차,,-,-,-,-,-,1개,-,-,-,-
1435,신한투자증권,2016년,금융영업,해외대학,무역경제,,-,760점,-,-,3개,5개,-,-,-,1회
1436,신한투자증권,2016년,,서울4년제,경영정보시스템,,3.6,805점,-,-,-,-,-,-,1회,-
1437,신한투자증권,2016년,,서울4년제,경영,,3.5,640점,-,-,-,5개,-,-,-,-
1438,신한투자증권,2016년,,서울4년제,컴퓨터학부,,3.7,850점,-,-,-,1개,-,-,1회,-
1439,신한투자증권,2016년,금융영업,서울4년제,상경계열,경제학과,3.24,895점,-,-,-,4개,1회,-,-,3회
1440,에스케이마리타임(주),2013년,,서울4년제,국제물류무역학과,,3.75,800점,-,-,-,-,1회,-,-,-
1441,에스케이마리타임(주),2012년,,서울4년제,국제통상,,4.1,880점,-,-,-,3개,-,-,-,-
1442,에스케이마리타임(주),2011년,비서,초대졸,기타계열,항공운항과,3.77,700점,Lv5,-,-,2개,-,-,-,-
1443,에스케이마리타임(주),2011년,,서울4년제,기계,,3.2,770점,-,-,-,2개,1회,-,-,1회
1444,에스케이마리타임(주),2011년,,서울4년제,경영학,,3.8,930점,-,-,-,-,-,-,-,-
1445,에스케이마리타임(주),2011년,,서울4년제,-,,3.98,950점,-,-,-,-,-,-,-,-
1446,에스케이마리타임(주),2011년,,서울4년제,중어중문학,,-,920점,-,-,-,-,-,-,-,-
1447,에스케이마리타임(주),2011년,,서울4년제,국제통상,,3.7,920점,-,-,-,-,-,-,1회,1회
1448,에스케이마리타임(주),2011년,,서울4년제,국제무역,,3.69,900점,-,-,-,-,-,-,-,-
1449,에스케이마리타임(주),2011년,,서울4년제,경영학,,3.6,880점,-,-,-,3개,-,-,-,-
1450,㈜농심,2022년,설비엔지니어,수도권4년제,공학계열,기계과,3.5,900점,-,13,-,2개,-,-,-,3회
1451,㈜농심,2022년,제품영업,지방4년제,자연과학계열,식품경제외식학과,3.98,800점,Lv6,-,-,4개,-,3회,-,4회
1452,㈜농심,2021년,영업지원,서울4년제,사회과학계열,사회학과,4.14,925점,-,IM2,-,-,-,-,1회,1회
1453,㈜농심,2021년,품질관리자,지방4년제,공학계열,전자공학전공,3.7,920점,-,IH,-,2개,-,-,-,1회
1454,㈜농심,2020년,바이오·제약연구원,서울4년제,자연과학계열,분자생물학과,3.93,820점,-,IM2,-,-,-,-,1회,-
1455,㈜농심,2018년,품질관리자,서울4년제,자연과학계열,식품생명공학과,3.65,850점,Lv6,-,-,4개,1회,-,-,2회
1456,㈜농심,2018년,제품영업,고졸,-,,-,-,-,-,-,-,-,-,-,-
1457,㈜농심,2018년,제품영업,고졸,-,,-,-,-,-,-,-,-,-,-,-
1458,㈜농심,2016년,영업지원,초대졸,예/체능학계열,생활체육과,3.55,-,-,-,-,3개,-,-,1회,-
1459,㈜농심,2016년,생산직종사자,고졸,-,,-,-,-,-,-,-,-,-,-,-
1460,현대카드,2023년,재무담당자,서울4년제,사회과학계열,공공인재학부,4.07,815점,Lv6,-,-,1개,-,-,1회,-
1461,현대카드,2022년,경영·비즈니스기획,서울4년제,사회과학계열,공공인재학부,4.07,815점,Lv6,-,-,1개,-,-,1회,-
1462,현대카드,2022년,경영·비즈니스기획,대학원,상경계열,국제의료경영학과,2.71,715점,-,IM2,-,2개,1회,3회,2회,16회
1463,현대카드,2022년,경영·비즈니스기획,대학원,상경계열,국제의료경영학과,2.71,715점,-,IM2,-,2개,1회,3회,2회,16회
1464,현대카드,2020년,경영·비즈니스기획,서울4년제,상경계열,경영학부,3.5,-,Lv6,-,-,14개,1회,11회,-,8회
1465,현대카드,2020년,머신러닝엔지니어,대학원,상경계열,경영학,4.39,-,-,IM2,-,3개,-,-,-,-
1466,현대카드,2019년,경영·비즈니스기획,서울4년제,상경계열,경영학과,3.91,980점,Lv7,AL,-,1개,1회,1회,1회,3회
1467,현대카드,2018년,제품영업,서울4년제,상경계열,경영학과,3.81,915점,Lv6,-,1개,2개,-,2회,2회,3회
1468,현대카드,2018년,제품영업,서울4년제,상경계열,경영학과,3.81,915점,Lv6,-,1개,2개,-,2회,2회,3회
1469,현대카드,2017년,머신러닝엔지니어,대졸4년제,자연과학계열,응용통계학과,3.78,-,Lv6,-,-,2개,-,1회,1회,1회
1470,LG CNS,2023년,백엔드개발자,수도권4년제,공학계열,컴퓨터공학과,3.83,945점,-,IM1,-,3개,-,3회,-,2회
1471,LG CNS,2023년,소프트웨어개발자,서울4년제,어문학계열,영어영문학,3.92,980점,Lv7,-,1개,1개,1회,-,-,-
1472,LG CNS,2022년,웹개발자,서울4년제,인문과학계열,중국외교통상전공,3.93,-,Lv6,-,1개,4개,-,-,-,-
1473,LG CNS,2022년,웹개발자,서울4년제,공학계열,컴퓨터공학과,4.1,845점,-,-,-,-,-,-,-,1회
1474,LG CNS,2021년,머신러닝엔지니어,서울4년제,공학계열,화학공학.고분자공학과,3.8,-,-,IH,-,1개,-,-,-,-
1475,LG CNS,2019년,머신러닝엔지니어,서울4년제,자연과학계열,응용통계학과,3.67,990점,Lv8,AL,-,1개,1회,1회,1회,2회
1476,LG CNS,2019년,머신러닝엔지니어,서울4년제,자연과학계열,응용통계학과,3.67,990점,Lv8,AL,-,1개,1회,1회,1회,2회
1477,LG CNS,2019년,경영·비즈니스기획,해외대학,상경계열,경제학과,3.38,905점,-,-,-,1개,2회,-,3회,1회
1478,LG CNS,2019년,앱개발자,서울4년제,공학계열,컴퓨터공학과,3.7,-,-,IM2,-,1개,-,1회,-,2회
1479,LG CNS,2019년,시스템엔지니어,수도권4년제,공학계열,산업경영공학과,3.3,840점,Lv6,-,-,1개,-,-,-,-
1480,CJ대한통운(주),2023년,회계담당자,서울4년제,상경계열,경영학과,3.6,855점,Lv5,-,-,2개,-,-,-,2회
1481,CJ대한통운(주),2023년,물류관리자,서울4년제,인문과학계열,문화콘텐츠학과,3.8,-,-,IH,-,3개,1회,2회,1회,3회
1482,CJ대한통운(주),2023년,물류관리자,지방4년제,인문과학계열,인도네시아ㆍ말레이시아어과,3.59,905점,IM3,-,-,4개,1회,-,1회,3회
1483,CJ대한통운(주),2023년,재무담당자,서울4년제,사회과학계열,공공인재학부,4.07,815점,Lv6,-,-,1개,-,-,1회,-
1484,CJ대한통운(주),2023년,물류관리자,지방4년제,인문과학계열,인도네시아ㆍ말레이시아어과,3.59,905점,IM3,-,-,4개,1회,-,1회,3회
1485,CJ대한통운(주),2023년,재무담당자,서울4년제,사회과학계열,공공인재학부,4.07,815점,Lv6,-,-,1개,-,-,1회,-
1486,CJ대한통운(주),2023년,재무담당자,서울4년제,사회과학계열,공공인재학부,4.07,815점,Lv6,-,-,1개,-,-,1회,-
1487,CJ대한통운(주),2022년,현장관리자,지방4년제,공학계열,건축공학과,3.32,-,-,IM1,-,2개,-,-,1회,-
1488,CJ대한통운(주),2022년,자재관리자,지방4년제,인문과학계열,인도네시아ㆍ말레이시아어과,3.59,870점,IM3,-,-,4개,1회,-,1회,3회
1489,CJ대한통운(주),2022년,자재관리자,지방4년제,인문과학계열,인도네시아ㆍ말레이시아어과,3.59,870점,-,-,-,4개,1회,-,1회,3회
1490,(주)경남은행,2019년,금융영업,지방4년제,어문학계열,독어독문학과,3.59,-,-,-,1개,2개,-,2회,-,2회
1491,(주)경남은행,2018년,웹개발자,지방4년제,공학계열,컴퓨터,4.09,760점,-,IM1,-,-,-,3회,-,-
1492,(주)경남은행,2017년,시스템엔지니어,지방4년제,공학계열,컴퓨터공학과,4.31,800점,-,-,-,1개,-,1회,-,2회
1493,(주)경남은행,2015년,,지방4년제,국제관계학/경영학,,3.8,-,-,-,-,5개,-,2회,1회,2회
1494,(주)경남은행,2015년,사무보조,지방4년제,상경계열,경영정보,3.59,-,-,-,-,3개,-,-,-,-
1495,(주)경남은행,2014년,,지방4년제,경영학과,,-,920점,-,-,-,1개,-,-,-,1회
1496,(주)경남은행,2014년,,지방4년제,화학과,,-,885점,-,-,-,1개,-,-,-,1회
1497,(주)경남은행,2014년,,지방4년제,경제학과,,-,875점,-,-,-,5개,-,-,1회,1회
1498,(주)경남은행,2014년,,지방4년제,가정교육과,,-,815점,-,-,-,2개,-,-,-,-
1499,(주)경남은행,2014년,앱개발자,서울4년제,상경계열,경영,3.49,905점,Lv7,-,-,3개,-,1회,1회,3회
1500,(주)신한금융지주회사,2016년,웹기획,서울4년제,법학계열,법,3.91,-,-,-,-,2개,-,-,1회,4회
1501,(주)신한금융지주회사,2014년,,지방4년제,정보통계학과,,3.83,620점,-,-,-,5개,-,-,-,1회
1502,(주)신한금융지주회사,2014년,,지방4년제,수학과,,3.14,-,-,-,-,1개,1회,-,1회,-
1503,(주)신한금융지주회사,2013년,,지방4년제,경영/경제,,3.16,900점,-,-,-,5개,1회,-,-,1회
1504,(주)신한금융지주회사,2013년,납품·배송기사,서울4년제,법학계열,법,2.3,-,-,-,-,-,-,-,-,-
1505,(주)신한금융지주회사,2012년,,초대졸,경영학부,,3.2,750점,-,-,-,4개,-,-,-,1회
1506,(주)신한금융지주회사,2012년,납품·배송기사,초대졸,자연과학계열,전자계산,3.83,-,-,-,-,-,-,-,-,-
1507,(주)신한금융지주회사,2011년,납품·배송기사,고졸,-,,-,-,-,-,-,-,-,-,-,-
1508,(주)신한금융지주회사,2011년,시설관리자,서울4년제,어문학계열,영어통번역학과,3.9,-,-,-,1개,-,-,1회,1회,-
1509,(주)신한금융지주회사,2010년,금융영업,초대졸,어문학계열,영어,4.5,850점,-,-,-,3개,-,-,-,-
1510,삼성석유화학(주),2012년,,서울4년제,화학,,3.33,850점,-,-,-,-,-,-,-,-
1511,삼성석유화학(주),2011년,인사담당자,서울4년제,인문과학계열,심리,4.1,-,Lv7,-,-,-,-,-,-,-
1512,삼성석유화학(주),2011년,,서울4년제,-,,3.9,900점,-,-,-,-,-,-,-,-
1513,삼성석유화학(주),2011년,,서울4년제,화학공학,,3.04,885점,-,-,-,1개,-,-,-,-
1514,삼성석유화학(주),2011년,화학엔지니어,대학원,공학계열,생물공학과,4.36,-,-,-,-,-,-,-,-,-
1515,삼성석유화학(주),2011년,비서,초대졸,항공운항,,-,-,-,IM1,-,1개,-,-,-,-
1516,삼성석유화학(주),2011년,현장관리자,초대졸,공학계열,금속재료,3.24,-,-,-,-,2개,-,-,-,-
1517,삼성석유화학(주),2011년,인사담당자,지방4년제,어문학계열,영어영문,4.09,865점,-,-,-,1개,1회,-,-,-
1518,삼성석유화학(주),2010년,설계엔지니어,초대졸,공학계열,건축,3,-,-,-,-,2개,-,-,-,-
1519,삼성석유화학(주),2010년,,서울4년제,정보통신전자공학,,3.3,860점,-,-,-,-,-,-,1회,1회
1520,HSD엔진㈜,2015년,현장관리자,지방4년제,공학계열,전기전자공,3.4,-,-,-,-,2개,-,-,-,2회
1521,HSD엔진㈜,2014년,기계엔지니어,대학원,공학계열,기계공학,4.1,-,-,-,-,1개,-,-,-,-
1522,HSD엔진㈜,2014년,납품·배송기사,초대졸,인문과학계열,세무회계,3.41,-,-,-,-,-,-,-,-,-
1523,HSD엔진㈜,2014년,비서,초대졸,기타계열,호텔경영,3.43,-,-,-,-,3개,-,-,-,-
1524,HSD엔진㈜,2014년,구매관리자,초대졸,공학계열,컴퓨터공학,4,380점,-,-,-,1개,-,-,-,-
1525,HSD엔진㈜,2014년,납품·배송기사,고졸,-,,-,-,-,-,-,1개,-,-,-,-
1526,HSD엔진㈜,2013년,건축기사,초대졸,공학계열,CAD&모델링과,3.6,-,-,-,-,-,-,-,-,-
1527,HSD엔진㈜,2013년,,서울4년제,자동자전공,,4,-,-,-,-,1개,-,-,-,-
1528,HSD엔진㈜,2013년,,서울4년제,전기공학과,,4.3,760점,-,-,-,1개,-,-,-,-
1529,HSD엔진㈜,2013년,,지방4년제,금속재료(석사),,4.1,730점,-,-,-,1개,-,-,-,-
1530,(주)아모레퍼시픽,2021년,인사담당자,대학원,어문학계열,중국어교육전공,4.16,940점,-,AL,2개,-,4회,-,-,-
1531,(주)아모레퍼시픽,2021년,인사담당자,대학원,어문학계열,중국어교육전공,4.16,940점,-,AL,2개,-,4회,-,-,-
1532,(주)아모레퍼시픽,2020년,MD,서울4년제,상경계열,경영학부,3.54,-,Lv6,-,-,1개,-,1회,-,2회
1533,(주)아모레퍼시픽,2018년,공간디자이너,서울4년제,예/체능학계열,디자인계열,4,-,-,IH,-,-,-,-,-,-
1534,(주)아모레퍼시픽,2018년,그래픽디자이너,지방4년제,예/체능학계열,프로덕트디자인학전공,3.43,-,-,-,-,-,-,-,-,-
1535,(주)아모레퍼시픽,2017년,경영·비즈니스기획,서울4년제,인문과학계열,인문계열,3.72,945점,-,AL,-,-,1회,1회,2회,-
1536,(주)아모레퍼시픽,2017년,온라인마케터,서울4년제,상경계열,경영학과,3.81,900점,Lv6,-,-,1개,-,-,-,-
1537,(주)아모레퍼시픽,2017년,생산직종사자,지방4년제,자연과학계열,화학과,3.51,925점,Lv7,AL,-,-,-,-,-,-
1538,(주)아모레퍼시픽,2017년,품질관리자,지방4년제,자연과학계열,생명과학,4.2,940점,-,IM2,-,2개,-,5회,1회,-
1539,(주)아모레퍼시픽,2017년,경영·비즈니스기획,지방4년제,인문과학계열,행정학과,4.13,960점,-,IH,1개,2개,1회,-,1회,-
1540,LG,2015년,비서,초대졸,상경계열,항공서비스,4.12,630점,-,-,-,-,1회,-,-,1회
1541,LG,2015년,비서,초대졸,인문과학계열,비서,3.15,-,-,-,-,-,-,-,-,-
1542,LG,2015년,시스템엔지니어,서울4년제,컴퓨터공학,,-,-,-,-,-,1개,-,-,-,-
1543,LG,2015년,회계담당자,지방4년제,어문학계열,중어중문학과,2.57,-,-,-,1개,3개,1회,-,-,-
1544,LG,2014년,매장관리자,초대졸,공학계열,토목설계학과,2.59,-,-,-,-,-,-,-,-,-
1545,LG,2013년,사무담당자,초대졸,인문과학계열,문헌정보학,4.3,-,-,-,-,4개,-,-,-,-
1546,LG,2013년,사무담당자,초대졸,의/약학계열,보건의료,4.3,-,-,-,-,4개,-,-,-,-
1547,LG,2013년,,수도권4년제,-,,3.43,620점,Lv4,-,-,1개,-,-,-,1회
1548,LG,2013년,,고졸,전자과,,-,-,-,-,-,1개,-,-,1회,-
1549,LG,2013년,,서울4년제,행정학과,,2.7,-,-,-,-,-,1회,-,-,-
1550,(주)풍산,2018년,경영·비즈니스기획,서울4년제,상경계열,글로벌경영학과,4.02,-,-,IH,-,5개,-,-,1회,2회
1551,(주)풍산,2016년,회계담당자,서울4년제,상경계열,회계세무,4.39,-,-,-,-,5개,-,2회,-,-
1552,(주)풍산,2015년,,지방4년제,금속신소재공학과,,3.7,840점,-,-,-,2개,1회,-,1회,-
1553,(주)풍산,2015년,자재관리자,지방4년제,공학계열,컴퓨터소프트웨어공학,3.49,-,-,-,-,5개,-,-,1회,-
1554,(주)풍산,2014년,품질관리자,초대졸,공학계열,정밀화학,3.14,-,-,-,-,1개,-,-,-,-
1555,(주)풍산,2013년,품질관리자,지방4년제,금속신소재공학과,,3.7,840점,-,-,-,2개,1회,-,1회,-
1556,(주)풍산,2012년,비서,초대졸,기타계열,비서과,2.95,520점,-,-,-,1개,-,-,-,-
1557,(주)풍산,2010년,,서울4년제,아동학,,3.43,821점,-,-,-,1개,-,-,-,-
1558,(주)풍산,2010년,품질관리자,서울4년제,공학계열,기계공학과,3.73,910점,-,IH,-,-,-,-,-,-
1559,(주)풍산,2009년,홍보,초대졸,예/체능학계열,산업디자인,3.7,-,-,-,-,2개,-,-,-,-
1560,흥국화재해상보험(주),2020년,앱개발자,서울4년제,전자통신공학과,,-,-,-,-,-,-,-,-,-,-
1561,흥국화재해상보험(주),2016년,금융영업,고졸,-,,-,-,-,-,-,-,-,-,-,-
1562,흥국화재해상보험(주),2016년,금융영업,수도권4년제,상경계열,경영,3.4,900점,-,-,-,1개,-,-,1회,-
1563,흥국화재해상보험(주),2016년,인바운드상담원,고졸,-,,-,-,-,-,-,-,-,-,-,-
1564,흥국화재해상보험(주),2016년,아웃바운드상담원,고졸,-,,-,-,-,-,-,-,-,-,-,-
1565,흥국화재해상보험(주),2015년,인사담당자,서울4년제,법학계열,법학과,4.31,950점,-,-,-,-,-,-,-,-
1566,흥국화재해상보험(주),2015년,사무담당자,초대졸,사회과학계열,사회복지행정,3.5,-,-,-,-,4개,-,-,-,-
1567,흥국화재해상보험(주),2015년,아웃바운드상담원,고졸,-,,-,-,-,-,-,-,-,-,-,-
1568,흥국화재해상보험(주),2015년,아웃바운드상담원,고졸,-,,-,-,-,-,-,2개,-,-,-,-
1569,흥국화재해상보험(주),2015년,금융영업,고졸,-,,-,-,-,-,-,-,-,-,-,-
1570,삼성그룹,2019년,MD,서울4년제,자연과학계열,섬유미술ㆍ패션디자인과,3.91,980점,-,IH,2개,1개,1회,2회,1회,4회
1571,삼성그룹,2018년,영업지원,서울4년제,영어영문,,4.08,910점,Lv6,IH,1개,-,1회,-,-,3회
1572,삼성그룹,2018년,제품영업,서울4년제,어문학계열,중어중문과,4.31,970점,Lv7,-,1개,3개,2회,-,2회,3회
1573,삼성그룹,2018년,영업지원,대졸4년제,상경계열,경영계열,4,955점,-,-,1개,-,1회,-,-,-
1574,삼성그룹,2018년,제품영업,서울4년제,어문학계열,중어중문과,4.31,970점,Lv7,-,1개,3개,2회,-,2회,3회
1575,삼성그룹,2017년,제품영업,지방4년제,인문과학계열,--,3.82,860점,Lv7,-,-,4개,1회,1회,1회,-
1576,삼성그룹,2017년,해외영업,지방4년제,사회과학계열,--,3.1,-,-,-,1개,1개,1회,-,1회,-
